学校官方
bw.xjtu.edu.cn	西安交通大学保卫处
dean.xjtu.edu.cn	西安交通大学教务处
jwc.xjtu.edu.cn  教务处
gjh.xjtu.edu.cn	本科劳育学习平台
hq.xjtu.edu.cn	后勤保障部
ily.xjtu.edu.cn	本科劳育学习平台
info.xjtu.edu.cn	交大综合信息
jgdw.xjtu.edu.cn	西安交通大学机关与直属单位党委
news.xjtu.edu.cn	西安交通大学新闻网
nic.xjtu.edu.cn	西安交通大学网络信息中心
ss.xjtu.edu.cn	学生成长支持系统
tuanwei.xjtu.edu.cn 团委
xsc.xjtu.edu.cn 学生处
xxgk.xjtu.edu.cn	西交大信息公开网
书院门户
bjb.xjtu.edu.cn  钱学森学院
cssy.xjtu.edu.cn  崇实书院
cy.xjtu.edu.cn	仲英书院
pksy.xjtu.edu.cn	彭康书院
qdsy.xjtu.edu.cn	启德书院
sfs.xjtu.edu.cn	外国语学院
wen.xjtu.edu.cn	文治书院
zlsy.xjtu.edu.cn	宗濂书院
nanyang.xjtu.edu.cn 南洋书院
lizhi.xjtu.edu.cn 励志书院
